{cycles = 0xe9f6a9e, diff_cycles = 0x1, operation = 0x80282ec "Reset usbBuffers", preempted_program_pointer = 0x801ab86, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x16, adj_usb_buff = 0x0, usb_buff = 0x16, dma_pos_at_usb = 0xa, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x1
{cycles = 0xe9f4bdd, diff_cycles = 0x1673d, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c5e, epnum = 0x30, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4bdf, diff_cycles = 0x1673f, operation = 0x802745c "GRXSTSP", preempted_program_pointer = 0x8007c5e, epnum = 0x3, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4be1, diff_cycles = 0x16741, operation = 0x802747c "XFRC", preempted_program_pointer = 0x8007c5e, epnum = 0x6, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4be5, diff_cycles = 0x16745, operation = 0x8027628 "Feedback OUT", preempted_program_pointer = 0x8007c5e, epnum = 0x1, is_in = 0x0, diff_usb = 0x1, expected_buff = 0x1c, adj_usb_buff = 0x1d, usb_buff = 0x1d, dma_pos_at_usb = 0x10, buffer_processed_flag = 0x1, dma_isr_flag = 0x0, available_data_for_processing = 0x30, usb_available_lock = 0x0
{cycles = 0xe9f4bea, diff_cycles = 0x1674a, operation = 0x8027638 "Write usbBuffers", preempted_program_pointer = 0x8007c5e, epnum = 0x1, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x4d, dma_pos_at_usb = 0x11, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4bee, diff_cycles = 0x1674e, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c5e, epnum = 0x20, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4c48, diff_cycles = 0x167a8, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c72, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4c4a, diff_cycles = 0x167aa, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c72, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4cc5, diff_cycles = 0x16825, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c72, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4cc7, diff_cycles = 0x16827, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c72, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4d42, diff_cycles = 0x168a2, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007d88, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4d44, diff_cycles = 0x168a4, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007d88, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4dbf, diff_cycles = 0x1691f, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c72, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4dc1, diff_cycles = 0x16921, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c72, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4e3c, diff_cycles = 0x1699c, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c82, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4e3e, diff_cycles = 0x1699e, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c82, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4e6e, diff_cycles = 0x169ce, operation = 0x8028528 "Audio Processing start", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4e72, diff_cycles = 0x169d2, operation = 0x8027618 "Read usbBuffers", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4e77, diff_cycles = 0x169d7, operation = 0x8027618 "Read usbBuffers", preempted_program_pointer = 0x0, epnum = 0x1, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x1d, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4eb9, diff_cycles = 0x16a19, operation = 0x8027458 "IT", preempted_program_pointer = 0x8016ea6, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4ebb, diff_cycles = 0x16a1b, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8016ea6, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4f11, diff_cycles = 0x16a71, operation = 0x8027638 "Write usbBuffers", preempted_program_pointer = 0x0, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x8f, dma_pos_at_usb = 0x7, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4f14, diff_cycles = 0x16a74, operation = 0x80286e8 "Audio Processing end", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4f36, diff_cycles = 0x16a96, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c50, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4f39, diff_cycles = 0x16a99, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c50, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4fb3, diff_cycles = 0x16b13, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c50, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4fb5, diff_cycles = 0x16b15, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c50, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4fbc, diff_cycles = 0x16b1c, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c82, epnum = 0x30, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4fbe, diff_cycles = 0x16b1e, operation = 0x802745c "GRXSTSP", preempted_program_pointer = 0x8007c82, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4fbf, diff_cycles = 0x16b1f, operation = 0x8027464 "RXFLVL", preempted_program_pointer = 0x8007c82, epnum = 0x6, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4fc5, diff_cycles = 0x16b25, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c82, epnum = 0x30, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4fc7, diff_cycles = 0x16b27, operation = 0x802745c "GRXSTSP", preempted_program_pointer = 0x8007c82, epnum = 0x3, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4fc9, diff_cycles = 0x16b29, operation = 0x802747c "XFRC", preempted_program_pointer = 0x8007c82, epnum = 0x6, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4fcd, diff_cycles = 0x16b2d, operation = 0x8027628 "Feedback OUT", preempted_program_pointer = 0x8007c82, epnum = 0x1, is_in = 0x0, diff_usb = 0x1, expected_buff = 0x1c, adj_usb_buff = 0x1d, usb_buff = 0x1d, dma_pos_at_usb = 0x10, buffer_processed_flag = 0x1, dma_isr_flag = 0x0, available_data_for_processing = 0x30, usb_available_lock = 0x0
{cycles = 0xe9f4fd1, diff_cycles = 0x16b31, operation = 0x8027638 "Write usbBuffers", preempted_program_pointer = 0x8007c82, epnum = 0x1, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x4d, dma_pos_at_usb = 0x11, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4fd5, diff_cycles = 0x16b35, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c82, epnum = 0x20, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f5030, diff_cycles = 0x16b90, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c54, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f5032, diff_cycles = 0x16b92, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c54, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f50ad, diff_cycles = 0x16c0d, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c6a, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f50af, diff_cycles = 0x16c0f, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c6a, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f512a, diff_cycles = 0x16c8a, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c72, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f512c, diff_cycles = 0x16c8c, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c72, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f51a7, diff_cycles = 0x16d07, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c70, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f51a9, diff_cycles = 0x16d09, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c70, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f5224, diff_cycles = 0x16d84, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c6c, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f5226, diff_cycles = 0x16d86, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c6c, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f5256, diff_cycles = 0x16db6, operation = 0x8028528 "Audio Processing start", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f525a, diff_cycles = 0x16dba, operation = 0x8027618 "Read usbBuffers", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f525f, diff_cycles = 0x16dbf, operation = 0x8027618 "Read usbBuffers", preempted_program_pointer = 0x0, epnum = 0x1, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x1d, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f52a1, diff_cycles = 0x16e01, operation = 0x8027458 "IT", preempted_program_pointer = 0x8016e86, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
